Plot,LA_SN,LA_NN,DTF_NN,DTF_SN,Plot_Yield_NN,Plot_Yield_SN
10,NA,NA,67.927389399237,67.1684708453734,311.443890298127,449.914409334631
100,62.4677221634978,52.3122354639237,66.1463408102463,62.6527793649503,299.844664904727,712.77690840735
101,42.4148443104094,43.857580768502,63.4420411225996,58.1370878845272,350.611901578218,590.429970597411
102,38.4874189105703,34.9886427282271,60.7377414349529,56.7823804404003,330.328475520575,894.052174855884
103,50.9755117938382,44.6655169458494,70.0525514701803,59.0733477711334,NA,NA
104,44.8042653783315,41.1864359555669,76.663061817761,76.651422954262,273.327596206557,451.574648475897
105,38.8331778488534,35.1756931275413,71.2544624424677,74.8451463620927,284.033792574268,578.226972914295
107,69.12934437442,66.5167168342739,61.6391746641685,60.3949336247388,292.88884271373,587.392427884081
108,47.4173092512301,48.0048570968575,61.913730274967,57.6855187364849,326.863681215778,1274.01243184619
109,56.3900483816761,56.4673407242944,54.4277088304441,52.2666889599772,316.408817518544,712.433534013669
11,39.409442745992,39.3496565605189,62.540607893384,61.2980719208234,282.126551005769,457.174292434383
110,53.4318885763646,45.3350961178635,72.1558956716833,64.4590559571196,318.780849049114,627.989846583104
111,45.3620531133727,40.7454394201598,69.4515959840366,68.1305709574916,299.780555944442,565.63774330289
112,59.0178163126281,64.1676488337232,60.4372636918811,59.0402261806119,282.174632725983,382.292261197082
113,53.0183909228609,51.2161730190274,55.6296198027315,55.8792421443157,299.500079243192,522.098466254942
12,52.3408270377822,47.4197277023125,65.5453853241026,63.1043485129927,350.979574352604,625.137197774064
120,43.9079945063995,42.2107936951129,63.4420411225996,60.7201156231985,309.084368805903,600.282174354558
121,39.7091004925041,48.9486731470186,65.5453853241026,63.1043485129927,337.612856133037,777.727495642808
122,46.8547852170227,44.521016722394,67.6487295256055,60.8465027727811,347.902344258891,835.46722061097
123,40.0590158408821,44.1315305133084,65.779653997712,62.3668834752636,337.596552634166,644.174546876883
124,60.7459956535679,60.0014766623428,64.0429966087433,61.7496410688657,343.591016679678,493.992651925519
125,45.6868883588218,47.5398289284793,64.643952094887,62.6527793649503,346.099279750856,753.004539297794
126,35.7290309362668,35.978832827114,69.1511182409648,64.4590559571196,346.691615751697,839.693366994733
127,43.2819428547634,30.4658598820269,70.9539846993959,65.8137634012465,307.465617558689,583.588896138694
128,55.7907328886519,49.9995032698632,64.3434743518151,63.1043485129927,341.347203069679,570.170881370247
129,49.3645785501245,44.7636616506837,67.0477740394618,61.7496410688657,328.15301966539,566.684310603642
13,54.2232923684349,53.194960709804,62.343277355272,58.5886570325696,284.803100097697,426.851692130884
130,44.7088142070039,38.7966610340527,60.7377414349529,57.4265799190682,298.522417598835,478.014476789315
131,53.8260873075093,49.6697664307725,64.643952094887,61.7496410688657,295.901963847157,521.738972383789
132,40.386891801278,52.0910348726424,63.4420411225996,67.3071870314591,321.079081685089,565.63774330289
133,51.2497654991998,41.7298050496539,67.3482517825337,62.6527793649503,300.79813634255,389.872911272957
134,58.391558669976,43.4210594745988,70.653506956324,64.0136513273288,266.980809138274,547.259844111901
135,41.671742295173,35.8830422422981,65.350106917407,62.6527793649503,320.138213086724,502.394058740647
136,31.879581423381,29.73747502296,70.0525514701803,67.6200399934158,279.978900836198,464.834182754954
137,27.1388422029208,34.1909461510357,77.5644950469766,74.8451463620927,284.843168197875,352.867717000132
138,55.7984164206138,53.9605570751364,66.638748158322,63.1043485129927,320.556376908219,756.438283234601
14,38.2343148438961,40.1186701554389,70.0525514701803,64.8370352533614,310.318466291403,501.494567806215
141,71.4638306561961,72.6000778869363,60.4372636918811,57.4265799190682,303.202371699691,524.036209782663
142,58.4953361392224,58.9094203648529,67.927389399237,65.3621942532042,343.764469001227,627.620058774525
143,58.8641456733911,53.8496573245775,57.7329640042344,54.0729655521464,290.035993981016,656.331440769215
144,48.1148844587658,34.2828689343397,70.0525514701803,63.555917661035,298.041600396692,464.622875435765
145,41.1281765813036,34.5710261651639,68.8506404978929,68.1305709574916,297.440578894014,473.603436501262
146,35.5150482808001,32.2831346626311,72.4563734147551,66.2653325492888,308.539442643475,593.995781608711
147,41.4175399657894,36.4135866773493,73.6582843870425,68.9747474375427,301.346976358263,393.676443018344
15,42.2650296800922,35.7839549885033,68.2496850117492,65.3621942532042,327.756103489112,677.250865368842
150,41.2492397553931,43.3383841154842,79.5251605674721,80.4813298479802,285.482886380273,444.422576177948
151,55.348262165499,43.8218313801238,61.6391746641685,68.0716091414581,330.176216739896,468.875435234427
152,43.3149787815459,37.4698950593419,71.5549401855396,67.6200399934158,314.966365912116,481.527460970818
154,49.8436791501816,48.8904089002534,64.061465676492,62.6527793649503,331.394286985325,716.104998684563
157,42.2475769123088,34.1302679986827,69.4515959840366,66.2653325492888,NA,NA
158,43.5123671578926,40.4682081151956,76.3625840746892,69.7773388095568,NA,NA
159,45.2105093771873,33.1512791557096,74.6496515155189,69.426316585585,321.39270455121,798.435612923246
16,45.0261046101029,47.4119224111055,68.356936479542,65.3621942532042,287.191158868339,524.898288234185
160,39.1695907779563,33.8793101335871,67.068295238627,64.0074868090773,387.854616930173,679.171522875349
161,36.4589664726424,37.3851134462778,68.5501627548211,67.1684708453734,313.78035014683,615.681195240395
162,32.6519242347378,32.5375431020284,76.3625840746892,72.5873006218812,NA,NA
163,44.0321924965927,42.8620278224093,74.2592398731862,66.7169016973311,NA,NA
165,40.9250315438914,34.4564079455747,72.4563734147551,70.3294548816696,298.080071502829,474.34301211842
166,52.8325730833404,47.4660913679239,73.3578066439707,73.0388697699235,281.613679323483,576.562927775688
167,NA,NA,67.927389399237,65.3621942532042,309.21368325015,585.307838530746
168,32.8866010588809,36.2154674359953,67.497842318932,66.7169016973311,317.733771113124,588.14349094498
169,41.4991727546267,45.2118288023729,63.4420411225996,61.7496410688657,283.136267130269,575.149741907602
17,50.8361561043307,46.6075754843145,64.3434743518152,56.6031959930356,322.56327770597,723.500754856148
170,49.1521612736153,40.4188873662716,61.3386969210966,58.5886570325696,311.215991735402,511.61234054023
171,56.3823648497142,39.2285524601629,65.2449075810307,64.0074868090773,307.433563078547,552.213262253222
172,43.1666898753357,41.1052534808336,72.222860202287,64.0074868090773,333.934604536645,691.302802094854
174,39.735324115134,33.303212772675,67.3482517825337,64.4590559571196,280.091091516698,422.347560548147
175,37.6070738761821,40.1697463935969,70.653506956324,62.3668834752636,317.642915004043,431.751876149786
177,63.7451775706391,48.9851078336161,62.2401301503122,64.9106251051619,305.032045035194,510.212429550609
18,39.8594391693367,42.0619496998423,65.779653997712,62.3668834752636,298.858989640335,536.635121142111
180,58.7764565365277,55.7805901873745,61.6391746641685,59.0733477711334,311.841054098188,681.688319071793
181,50.1433368966936,62.2549195051226,56.329618231002,55.8792421443157,306.11932939269,556.013290984641
183,61.74159565663,54.2236120959657,65.5453853241026,63.1902674012962,323.981688452291,697.298161725836
184,45.2907757306779,42.8551305746626,68.5501627548211,64.0136513273288,331.57058662611,833.222080344596
185,43.2554708471893,45.5331138876501,64.9444298379589,63.1043485129927,318.6205766484,510.740697848579
186,37.069687026524,36.3535316399786,69.7520737271085,67.1684708453734,322.821430941321,605.55224310832
187,44.8708326984141,46.9793555861028,70.9539846993959,64.8370352533614,NA,NA
188,64.2964027704176,63.2775311384472,59.2353527195937,54.9761038482311,347.693990137962,714.467366960855
189,NA,NA,74.8601953593299,75.5410262917848,286.405824104839,446.61213057375
19,42.9386221017506,45.3403618975122,69.4515959840366,71.4241066616219,310.037989590153,539.937399902992
190,43.7049147381409,51.8935845813353,67.068295238627,59.4917953286542,326.846257723216,593.784474289523
191,50.8361561043307,45.5225799504278,60.4372636918811,56.6031959930356,295.749705066479,631.970473195367
194,44.4912169836632,35.2452106774919,58.477353632527,58.2499638451008,336.359484662242,499.879322760132
195,64.7147025132782,52.2017363030652,62.2401301503122,61.2980719208234,308.377355607159,651.138047742219
196,50.4049579273273,42.8070530334467,66.638748158322,62.201210216908,324.215310346306,647.641427267602
197,52.502181208981,50.1048426420852,63.7425188656714,62.201210216908,315.01444763233,633.77438444588
198,36.9199783903533,31.8026943636655,76.6630618177611,67.1684708453734,288.088684312338,514.174441785387
199,44.565092692392,44.0504879223419,65.8458630671744,65.3621942532042,299.195561681835,653.690099279363
200,45.8159540384158,42.4159062469106,65.8458630671744,64.0136513273288,324.389545271929,669.049320586562
201,50.8361561043307,48.3282760163586,64.920559837102,63.1902674012962,325.347837362857,551.997896247078
202,43.3664617063437,43.2270420829189,69.1511182409648,68.9747474375427,294.8567253788,515.457463871244
203,50.1302977717458,48.9671774220875,70.0525514701803,65.8137634012465,288.625596854731,399.540221125815
205,46.8873891030407,52.7806281077016,66.4468185533181,63.1902674012962,333.981177927485,751.857549949085
206,58.2775148576643,62.1798825028141,63.4420411225996,63.1902674012962,303.330589620262,692.43857893549
208,46.3599364710994,35.6659469507313,75.1606731024018,66.4838031054265,315.503564065147,588.933166300843
209,44.4080893624255,32.5912503248936,70.653506956324,63.555917661035,309.965867009831,452.929533420652
21,54.9115726570594,52.4949911288371,62.8410856364559,58.5886570325696,316.697307839829,500.668998115995
210,46.585861598358,44.269041420986,63.1415633795278,59.4917953286542,310.110112170474,642.966252830565
211,52.2232497270102,53.2257625116613,65.779653997712,63.1043485129927,317.672788889156,643.492554524092
212,41.2564758701541,51.9342866154084,60.1367859488092,54.1330442149379,324.476662734741,572.457666830796
213,41.4241052678225,36.8584165851678,61.3386969210966,64.9106251051619,302.721554497548,760.90292220715
214,35.6825845434234,37.5513886585869,69.4515959840366,66.4838031054265,326.762414604683,606.52139013597
215,41.6491250887881,37.3340238507501,71.2544624424677,72.5873006218812,295.268887864336,512.167022253099
216,39.5820193293961,46.5340710581738,66.209201078017,56.7823804404003,329.35524065219,532.927966363335
217,38.8109701477787,41.9215012300507,75.7616285885455,72.1357314738389,295.344583170545,384.167613654877
218,47.9151126277577,47.2132768745911,61.9396524072404,60.3949336247388,323.765320711327,757.204272266659
219,60.2732815731178,58.0389487909986,64.3434743518152,59.8967316971659,289.979898640766,561.904732529721
22,35.2976866768717,48.0876618685664,61.054636114357,57.4265799190682,291.470431967409,652.537926782157
222,47.8248170718642,40.5354201464745,58.906900712832,61.7496410688657,310.206822326202,624.635342890993
223,50.3657253785453,47.2301661860056,75.7616285885455,69.7773388095568,288.488438847273,444.027738500017
224,49.8667297460671,57.2573860159595,59.5358304626655,54.9761038482311,284.546664256554,345.920988881822
225,64.7036299643956,49.8882796203107,63.1415633795278,58.1370878845272,297.945436956264,512.167022253099
226,54.3001276880534,48.3262543157774,66.4468185533181,62.201210216908,300.954947775611,686.06323507197
227,45.0626881060547,38.7176565048862,64.0429966087433,64.9106251051619,299.59624268362,499.376802079129
228,36.7663077511163,39.602507231551,66.1463408102463,65.3621942532042,287.48766280966,542.700929875787
229,52.0719034191175,52.7928962154223,68.2496850117492,65.8137634012465,299.282292489629,650.814998733002
23,50.2826638675988,54.6282435760271,68.356936479542,61.2980719208234,299.534933131782,472.743205985937
230,44.8032821832093,44.8168061565404,63.1415633795278,58.5886570325696,331.538532145968,619.335667501562
231,37.7574833741947,39.2706882090517,70.3530292132522,67.1684708453734,348.415215941176,658.91995542927
232,67.4927520665464,58.957106243955,63.1415633795278,58.5886570325696,303.731270622048,695.47612164882
234,41.5700963540111,41.2529035653024,63.35475585959,60.7201156231985,331.446059759668,662.983178080161
236,49.3365660406996,58.5467737825011,67.9492072686774,65.8137634012465,NA,NA
237,50.6650903858633,48.5794400561026,67.9492072686774,58.2499638451008,320.164348325567,686.817016093475
238,52.0411692912701,47.0447338790359,65.5453853241026,60.3949336247388,315.318965193687,597.376698715721
239,52.1527952810281,53.413749686108,64.061465676492,58.5886570325696,340.549834623479,667.451488441492
24,56.8587438313488,49.9099648034745,63.4420411225996,60.8465027727811,323.709225371077,525.34731628746
240,59.3405246550257,38.6807877246085,70.9539846993959,62.6527793649503,264.272205566203,439.794265431158
241,65.6640714596266,62.9088433356702,60.1367859488092,62.201210216908,325.496262639041,687.604924009062
242,45.6911856074331,41.382742622103,61.3386969210966,59.0733477711334,312.850770222688,777.270738674124
243,66.91633364027,58.3213136754018,56.8315307750189,52.4862763628728,361.805975020851,604.977933758601
246,42.9361839164802,35.5637226647588,72.4563734147551,69.426316585585,304.17829389964,495.632224526627
247,54.2289595206016,34.773437789291,72.756851157827,64.0136513273288,303.378671340476,651.173942076576
248,31.9333942136787,31.1776519302978,78.236519326557,82.9514816260779,NA,NA
251,44.4185476114089,44.6917597995393,71.363766041677,63.1043485129927,310.198110579921,555.336069342316
252,46.8471016850609,42.0569146043238,63.4420411225996,63.1043485129927,320.744185957864,629.231277083335
255,49.4074306337028,47.9509539436073,53.752335749172,51.3635506638926,309.858352474956,382.028127048097
256,48.253188034079,45.5331138876501,63.1415633795278,62.6527793649503,314.67787559083,503.133634357806
257,54.3462288798245,47.8700716332987,73.0573289008988,65.3621942532042,325.480235398969,521.728678446363
258,44.3038526056892,41.3458738418253,67.3482517825337,64.9106251051619,312.642416101759,630.287813679276
26,47.3337580058245,44.146931414237,73.081954362897,69.426316585585,301.791275418603,784.436503027031
265,40.2368236033639,36.1684436971136,70.653506956324,66.4838031054265,NA,NA
266,42.356583065286,45.679509796156,60.7377414349529,61.7496410688657,338.54243605718,636.574206425123
267,49.467186084051,47.4196228615698,67.068295238627,64.4590559571196,324.354698286805,710.109153502599
268,61.1200398409709,65.1866223598452,64.0429966087433,64.0074868090773,326.20158849841,776.481063318262
269,46.9444110091965,39.1337470251631,65.8458630671744,64.0136513273288,325.672562279826,669.696628707866
270,48.0867394823021,45.971938174279,69.1511182409648,63.555917661035,325.164890690952,664.308292068568
271,40.2368236033639,41.9041725146019,67.0477740394618,66.4838031054265,347.734058238141,617.133933059813
272,50.9209860984199,44.6398268937559,66.74729629639,63.1043485129927,358.784840267387,644.392577235085
